audio_file,start_time,volume,trim_start,duration
1.mp3,00:00:00,1.0,0,43
2.mp3,00:00:43,1.0,0,43
3.mp3,00:01:26,1.0,0,45
4.mp3,00:02:11,1.0,0,45
5.mp3,00:02:56,1.0,0,45
6.mp3,00:03:41,1.0,0,46
7.mp3,00:04:27,1.0,0,46
8.mp3,00:05:13,1.0,0,44
9.mp3,00:05:57,1.0,0,46
10.mp3,00:06:43,1.0,0,47
11.mp3,00:07:30,1.0,0,44
12.mp3,00:08:14,1.0,0,49
13.mp3,00:09:03,1.0,0,43
14.mp3,00:09:46,1.0,0,43
15.mp3,00:10:29,1.0,0,46
16.mp3,00:11:15,1.0,0,48
17.mp3,00:12:03,1.0,0,44
18.mp3,00:12:47,1.0,0,46
19.mp3,00:13:33,1.0,0,46
20.mp3,00:14:19,1.0,0,48
21.mp3,00:15:07,1.0,0,50
22.mp3,00:15:57,1.0,0,48
23.mp3,00:16:45,1.0,0,46
24.mp3,00:17:31,1.0,0,49
